RGIId,Loibl_ELA,Loibl_THAR,Loibl_AAR,Loibl_AABR
RGI60-13.00889,4993.844554427123,0.5106913772146165,0.6219328735797379,1.733303536937279
RGI60-13.00891,5083.485728643107,0.597043315114126,0.4506488223511137,0.8574474472972632
RGI60-13.00905,4828.753207727424,0.6233858764482402,0.454168255205429,0.9593411812111258
RGI60-13.00906,4855.360150940704,0.5457578704486038,0.4922415092452873,1.1922312367367365
RGI60-13.00907,5200.518325978025,0.8576966501250008,0.1580807669202778,0.20713127767191
RGI60-13.00909,5171.34660455971,0.5364217916082018,0.2421841406953657,0.3308897866011157
RGI60-13.00910,5046.038740882075,0.5521585402818626,0.6552102009129592,2.066913554376349
RGI60-13.00912,4901.998545565246,0.2332947481006721,0.8264337670037577,5.300735751099569
RGI60-13.00913,4527.199558747957,0.3512757730761346,0.605162948880587,1.6490096815317528
RGI60-13.00917,4831.036518171326,0.4767473614383817,0.5433233501070569,1.2604470356742654
RGI60-13.00919,4906.295192788104,0.447597173031134,0.5310820137337992,1.2858991974466505
RGI60-13.00920,5207.870435721738,0.7516874077270586,0.5491604933560245,1.523712751400833
RGI60-13.00921,5271.5805071427685,0.4066862029158198,0.8496658858820785,5.998588792626704
RGI60-13.00926,4291.56809387046,0.3013077937997355,0.7918700083391791,4.051873539557443
RGI60-13.00927,4677.401364230344,0.5035526334197374,0.4534301460099979,0.9203995477901664
RGI60-13.00928,4415.231249256478,0.5433719008634947,0.6662130598705728,2.25997220084129
RGI60-13.00931,4727.914024125836,0.4666335187230561,0.5612818149283325,1.445076924677602
RGI60-13.00935,4914.733334615163,0.6095968592856954,0.5489286744492249,1.3222031645284464
RGI60-13.00936,4917.770873215852,0.4896688146656397,0.6626158765427256,2.0184832374856003
RGI60-13.00940,4564.748423631278,0.4516086278091215,0.6184090319423957,1.9392334058947809
RGI60-13.00942,4821.594386502134,0.1693664318456752,0.7782965826591617,3.678786602356584
RGI60-13.00944,4754.051528461213,0.4215251922032657,0.722420730874035,2.7574785981762897
RGI60-13.00945,4962.5456455777385,0.5658575107464122,0.3038685895086703,0.473831497648632
RGI60-13.00947,5000.42795044468,0.6533016369768656,0.6145211722037415,1.659211830423559
RGI60-13.00948,5182.33998271289,0.5624989624658956,0.4641972283915349,0.9029624796064488
RGI60-13.00949,4835.829893199974,0.7302015851474727,0.4728469759068419,0.9961362614472972
RGI60-13.00951,4963.908485542304,0.5269681560064111,0.5493575186107135,1.4291526414148343
RGI60-13.00954,5025.954195300684,0.5823115450755516,0.3636471151686199,0.6516605251489158
RGI60-13.00955,4863.169641150564,0.3438163273016699,0.512914901743998,1.138059933191455
RGI60-13.00956,4951.107061503511,0.5809902834806975,0.4815437564831124,1.0948516884535502
RGI60-13.00959,5089.265678048459,0.4218295647493005,0.5717590061097538,1.4472471327307292
RGI60-13.00964,4839.265596432836,0.7612427165509718,0.7479221257553562,3.7257237971046897
RGI60-13.00967,4943.052237196449,0.6134938703457641,0.6460832910854883,2.0093359392202963
RGI60-13.00972,4982.231973112335,0.6133113450888555,0.5145604485882527,1.1793368996542215
RGI60-13.00973,5134.493190344404,0.4342736983614954,0.5546096360360137,1.3163490753565903
RGI60-13.00974,5215.971392507181,0.6049462994256098,0.5629354416381085,1.350753057302798
RGI60-13.00979,4967.790114080604,0.5666144809971104,0.3601718031503937,0.5874508964840504
RGI60-13.00980,5219.842700228981,0.8538122116258071,0.2487034588905694,0.3460928544169768
RGI60-13.00982,4893.467050003541,0.5416198023844183,0.4867723885518002,1.0990544853437758
RGI60-13.00983,4858.44280654564,0.6864337530347501,0.4357441324329892,0.7857676235643168
RGI60-13.00985,4939.289552427645,0.5532299437258585,0.5833627080075948,1.4684076273353102
RGI60-13.00988,5113.901789434756,0.6512779334978294,0.5733770076605382,1.3754212357083837
RGI60-13.00995,4868.146061637572,0.5282186785687351,0.7789078298377834,4.461777427032666
RGI60-13.00997,5184.239983834691,0.6135152423039046,0.5375562503574969,1.279384034795254
RGI60-13.00999,5034.551844501575,0.5853264099612271,0.6574625519652236,2.252469053096557
RGI60-13.01002,4784.56068705248,0.491023422631573,0.5854078762415131,1.511529578932981
RGI60-13.01006,4505.729937643715,0.5835348655477679,0.4075443838738651,0.7405907949921091
RGI60-13.01007,4948.072761497214,0.6503535146865261,0.4113668775195061,0.7171804638990821
RGI60-13.01008,4913.896651374514,0.6260690299365107,0.3183397383510778,0.4854642201944406
RGI60-13.01009,4953.487398171595,0.5667846869215571,0.6185372068325274,1.7301737963887165
RGI60-13.01013,5009.898429681232,0.4744519356310632,0.6233957673944092,1.7570980938406917
RGI60-13.01014,4851.461063752209,0.5636438505911284,0.4998549598995292,1.0474561277783383
RGI60-13.01015,5039.744113318028,0.6891871501638533,0.4821899247064533,0.9628013349591747
RGI60-13.01017,5025.954955945046,0.7466469571040514,0.3569785044669311,0.591844814145268
RGI60-13.01018,5148.936817902584,0.5446740656627919,0.6136632457872435,1.6712612169648806
RGI60-13.01019,5130.6123510978505,0.7183244028587324,0.4358247178227904,0.8303730637339699
RGI60-13.01020,5172.0140081018535,0.5180153329014743,0.5659715304642728,1.3652079025977284
RGI60-13.01021,4971.552402434851,0.6076777149929956,0.4136732687512181,0.7692895508879393
RGI60-13.01022,5054.275983561924,0.6999317133641377,0.5126621853656362,1.1553306027084276
RGI60-13.01023,4953.691816060984,0.5703231397472798,0.6015191669572778,1.6575228459316451
RGI60-13.01024,4951.808859254845,0.4671654486341138,0.6381120371274912,1.8211349982403755
RGI60-13.01025,5097.124084089263,0.6190460270753347,0.2876060366986782,0.4406160671572988
RGI60-13.01027,4766.631299969156,0.4615664296903533,0.4326946177990473,0.9389638274900338
RGI60-13.01033,5346.171233237214,0.4015601525250097,0.5642984163482117,1.3359704660213616
RGI60-13.01035,5524.348070251346,0.4883880001671294,0.6981832443792175,2.49991157849712
RGI60-13.01038,5136.592374296467,0.4971455936625916,0.6187275011435854,1.7248860859820223
RGI60-13.01041,5224.733257550911,0.6517361694123535,0.626910293006429,1.8837145223585936
