RGIId,n,slope,intercept,r_value,p_value,mad_err,AAR_mean
RGI60-14.07852,12.0,-0.24208634261122772,0.8032857294603053,-0.5270950234819017,0.07825254733331899,0.12342449144142942,0.7970191772295679
RGI60-14.07853,13.0,-0.06648423427022483,0.6358456432766587,-0.20191954181830746,0.5082648966077877,0.09723105835516803,0.6589998836442709
RGI60-14.07854,17.0,-0.03628128241611688,0.8093766128810068,-0.17336083887368095,0.5057901823175368,0.05321815114938535,0.8123118129419489
RGI60-14.07857,9.0,0.07432202101328085,0.6442162534715438,0.4082474502882814,0.2753466337530765,0.06281372740419269,0.621018189967473
RGI60-14.07858,13.0,0.004057995496657962,0.8330417104062448,0.02252466560646738,0.9417752777321621,0.054305856283080774,0.833071779008375
RGI60-14.07859,6.0,-0.37336834420880427,0.4952726493710592,-0.675625284390648,0.14076324970482476,0.2037105652127599,0.49807757574011013
RGI60-14.07861,11.0,-0.05689940099321946,0.8333128867116929,-0.2031676362627569,0.5490672409033219,0.09140679151113827,0.83189354771935
RGI60-14.07862,5.0,-0.04279751196495581,0.8016060426286584,-0.13344903533530647,0.8305930856635803,0.18350187641973217,0.805646157883319
RGI60-14.07863,16.0,-0.07103000522726986,0.8554938960865632,-0.43322435349292227,0.09368475989363068,0.039493683966732245,0.8615242596080721
RGI60-14.07865,12.0,-0.03869137307183305,0.5998814200612335,-0.12810534727834602,0.6915379381617974,0.094722623929417,0.6032462297982084
RGI60-14.07870,16.0,-0.018873457528299678,0.6669523153523268,-0.15433640388684625,0.5681993138178232,0.032291192779877104,0.668534947057282
RGI60-14.07872,12.0,-0.016996112248569895,0.6390852416002556,-0.18336670434531868,0.5683737787177136,0.028813918635866537,0.6387857469118758
RGI60-14.07876,18.0,-0.0005089766604755406,0.729809503996091,-0.0022221298382018233,0.9930179488490332,0.0572621134795901,0.7299103896844215
RGI60-14.07880,6.0,-0.239700148957747,0.8725050066774224,-0.46475602407088323,0.35305918736167113,0.22833464994337208,0.8259972908306527
RGI60-14.07883,11.0,-0.046686548814336225,0.8737335395183807,-0.18849159126157902,0.5788640117013666,0.08108174827053094,0.8779103821832449
RGI60-14.07887,12.0,-0.06574814638325945,0.7920883564264178,-0.18319490053335835,0.568742565805662,0.11157258567672244,0.7952933313756514
RGI60-14.07891,15.0,-0.04936351485462027,0.7378826995384465,-0.1216672954066624,0.6657803710125546,0.11169200853108115,0.7378704848394586
RGI60-14.07892,16.0,0.008313376182758774,0.6100864229094543,0.018198664401280183,0.9466656176112224,0.12206803949815018,0.6095862204540925
RGI60-14.07896,11.0,-0.038770177355899035,0.8508858616781537,-0.11296900482185125,0.7408632199867896,0.11366536809255146,0.8549771512347196
RGI60-14.07901,16.0,0.011727431813108771,0.4498373084353598,0.025061058318420742,0.9265977401255654,0.1250267862280422,0.44764977206024537
RGI60-14.07905,13.0,0.07170768795484068,0.7535423394743359,0.19867061798649352,0.5152552297571991,0.10665745048366918,0.7510706079797644
RGI60-14.07906,17.0,-0.07568806619635472,0.8238491573429493,-0.31360979275341483,0.22028374857871172,0.059171270232603296,0.8279195083082695
RGI60-14.07908,8.0,-0.10419128999579086,0.8354656361155728,-0.3904282783254827,0.33893824999706706,0.10030006765935534,0.8416825255813238
RGI60-14.07911,11.0,-0.015861028277689784,0.8536733677622735,-0.06928506111059943,0.8395900344833853,0.07612469619505718,0.8550007567402578
RGI60-14.07914,10.0,-0.0644953012520844,0.882919235822336,-0.11860317817218126,0.7441743796431202,0.19090201825245381,0.8752234124218802
RGI60-14.07915,16.0,-0.004399197372670747,0.7057761003940842,-0.025427571646193147,0.9255270001977827,0.04622363534022686,0.7059159717072667
RGI60-14.07918,15.0,-0.2078298969969859,0.6272629568146316,-0.466392480723161,0.07969760231524424,0.1093253531948727,0.6807845390129554
RGI60-14.07920,9.0,-0.005879366756090495,0.8359102682754259,-0.03272711319460245,0.9333883513289323,0.06786426199074522,0.8360457117715464
RGI60-14.07927,16.0,-0.04811412815133255,0.843339392780884,-0.12857660802901846,0.6350969552400225,0.09918060823928188,0.8454349430662703
RGI60-14.07931,18.0,-0.02371319244604751,0.6767370956713613,-0.15103134719725325,0.5496944137635034,0.03880184185382689,0.6830855917925349
RGI60-14.07934,11.0,0.047286291217900414,0.8669412072819135,0.29725291790582575,0.37469535104647556,0.05062904377649041,0.8602047181384638
RGI60-14.07935,13.0,0.011233790942960644,0.8547779310598699,0.08966954365121406,0.770808133722368,0.0376211423098201,0.8532245511412536
RGI60-14.07939,9.0,-0.04054958063145866,0.8295399214129879,-0.051914972028667454,0.8944769339612275,0.2948211833982184,0.8350794940401819
RGI60-14.07941,18.0,-0.047548174003706756,0.774867646078249,-0.15541746660462752,0.5380244207155946,0.07555523116934088,0.779204601305421
RGI60-14.07942,14.0,-0.17412566238452534,0.6893624970272627,-0.27306730701321613,0.34486875835023934,0.17708233276546756,0.6958244754914562
RGI60-14.07945,14.0,-0.1259459455171126,0.8348339576615944,-0.3886568448622599,0.16963978710922842,0.08619205672149961,0.8419291589411618
RGI60-14.07947,18.0,-0.06347719567785129,0.7399937569390979,-0.1352492323503171,0.5925887873928682,0.11625563655939676,0.7574925315789747
RGI60-14.07952,8.0,0.03485488882621162,0.8061406463943263,0.11482379932107238,0.7865902599693778,0.12310456105147065,0.8044004107761269
RGI60-14.07953,17.0,0.0671462282078337,0.7544837712758021,0.20166447363663367,0.43764510070058416,0.08420365328877945,0.7449696812488997
RGI60-14.07958,13.0,-0.06174599298595064,0.7850294875533685,-0.1555166991232395,0.6119235352968743,0.11825487493007383,0.7769112562905026
RGI60-14.07959,12.0,0.13028322049791383,0.8126253995927795,0.25284001175115695,0.427853518092026,0.1576512049120219,0.8361111865014977
RGI60-14.07960,9.0,0.14764586483944664,0.7995111048882082,0.45980492403072104,0.21302837173174832,0.10777582921287825,0.7984736811952629
RGI60-14.07961,8.0,0.13363163429490377,0.834010730743269,0.2981122094024458,0.47327354110983366,0.17468026924482954,0.8397048297273718
RGI60-14.07963,16.0,-0.19913835234256064,0.6918760260975091,-0.37750290981084733,0.14944132216681527,0.1305525964058055,0.7028363272499722
RGI60-14.07968,11.0,-0.026304921257949487,0.8263266064975554,-0.09028241994418885,0.7917902744268767,0.09672424720910307,0.8262522007857233
RGI60-14.07969,15.0,-0.1858418792898715,0.6085436781579701,-0.3870010693441749,0.15413826780083484,0.12280838035154927,0.6544328334481375
RGI60-14.07971,12.0,-0.019753587377436016,0.7996512797115388,-0.061780220260555754,0.8487338130552498,0.1009174186125061,0.8014335317994177
RGI60-14.07975,16.0,-0.0326671088725907,0.7806157652226166,-0.131787339693196,0.6265989267775018,0.06567021888814653,0.7813724562478824
RGI60-14.07977,10.0,0.033966751071118684,0.8631002353130375,0.1817055439751999,0.6153847743993559,0.06499055978972772,0.8628318847325556
RGI60-14.07979,15.0,-0.02131560969343855,0.8756591827938406,-0.06538971565210713,0.8169037545240265,0.09021653902810382,0.8758988779474299
RGI60-14.07980,11.0,0.15353919609277467,0.8213094683636294,0.3588074337134791,0.2785295909288648,0.13314037380979837,0.8186366424654423
RGI60-14.07982,18.0,-0.019204172209925145,0.7748480488935909,-0.08146594803139977,0.7479436006880287,0.05873724057651696,0.7792124537373516
RGI60-14.07986,7.0,0.01704338464309524,0.8977166192371019,0.07084109288348803,0.8800379672285139,0.10732307371950653,0.8922782333626562
RGI60-14.07987,15.0,-0.0318833884047623,0.7958415419288057,-0.1860038525541575,0.506867448988157,0.046711636075068855,0.8004893706526138
RGI60-14.07990,10.0,0.0021076944281877906,0.6689139267711055,0.004543906777252957,0.990060409150069,0.16399430159665201,0.6686282714262396
RGI60-14.07993,13.0,0.005354149614847952,0.8172044532876684,0.02116136468869833,0.9452944319509251,0.07626990886378254,0.8167952755759456
RGI60-14.07995,18.0,0.03506062754421109,0.7690571151009645,0.163005698840209,0.5181041635006101,0.05305289380361598,0.7621456080197788
RGI60-14.07996,12.0,-0.00041109159857558535,0.8865192034545203,-0.003134706831971165,0.9922857834766281,0.04147052534873608,0.886523261718602
RGI60-14.08000,19.0,0.01630059814116119,0.7170984087618173,0.07073481704436033,0.7735348332325607,0.05575151081490033,0.7134302275377626
RGI60-14.08009,18.0,-0.09443989557611304,0.6657789652275085,-0.23132678879869142,0.35569857146540007,0.09929493931012144,0.684070847696097
RGI60-14.08012,8.0,-0.054186459315630875,0.8344168457545116,-0.23392137367558483,0.5771347629955057,0.09194447969807568,0.8471961436385282
RGI60-14.08015,12.0,-0.15066440727514746,0.7045195857778267,-0.4510519340562282,0.1410917192147079,0.09427384620117384,0.7361413052003908
RGI60-14.08016,13.0,-0.22784708759951205,0.7974184451466922,-0.642628179509686,0.017846280606551225,0.08190627217444969,0.8076191273494141
RGI60-14.08022,10.0,-0.008245703953780756,0.8618649577683346,-0.055889821626530785,0.8781221969590304,0.05207996249270846,0.8611544314316191
RGI60-14.08023,12.0,-0.10438610885561128,0.8251174621417611,-0.4400844818405061,0.15222860470098604,0.06735376719259477,0.841794168823298
RGI60-14.08024,9.0,0.1180246383325682,0.8117890504374089,0.42553515044237356,0.2534956806316132,0.09486563404273778,0.8359012170596714
RGI60-14.08025,14.0,0.0760966760465483,0.8615738895551195,0.2824147168203805,0.3279309261747372,0.07461716557638778,0.8639176068291669
RGI60-14.08026,12.0,-0.15702508932406087,0.7034310513122034,-0.38804594924952107,0.21259769053975616,0.11793622524966095,0.6949993797341208
